Datum,Empfänger,Kontonummer,Transaktionstyp,Verwendungszweck,Betrag (EUR),Betrag (Fremdwährung),Fremdwährung,Wechselkurs
2022-06-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-06-29,Stephanie Lawrence,GB79SJFM22358332456029,Lastschrift,304-2012416-0749959 AMZN Mktp DE 61ZPE77CVNKSFYM7,-31.98,,,
2022-07-11,Elizabeth Woods,GB78EWJM61093523376960,Gutschrift,"Elizabeth Woods, Mitgliedsbeitrag 2020-2022",30.0,,,
2022-07-11,Jorge Sullivan,GB71AMCW12648629645137,Gutschrift,"Jorge Sullivan, Mitgliedsbeitrag 2020-2022",30.0,,,
2022-07-11,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Peter Montgomery Mitgliedsbeitrag 2020-2022,30.0,,,
2022-07-12,Lauren Hayes,GB63ULUQ06606573547121,Gutschrift,"Lauren Hayes, Mitgliedsbeitrag 2020-2022",70.0,,,
2022-07-12,Sean Green,GB14PPKZ51717604522961,Gutschrift,Sean Green Mitgliedsb.2020-22,30.0,,,
2022-07-18,Stephanie Sutton,GB44XWTU77658236940224,Gutschrift,"Stephanie Sutton, MB 2022",30.0,,,
2022-07-19,Susan Levy,GB21JDPX30428146546118,Gutschrift,"Lisa Johnston, Mitgliedsbeitrag 2020-2022",30.0,,,
2022-07-22,Brian Hamilton,GB60KKZL15900422945682,Gutschrift,Brian Hamilton Mitgliedsbeitrag 2020-2022,30.0,,,
2022-07-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-07-22,Whitney Stark,GB05IDRT27626623758257,Gutschrift,ZORAN ZUNK MITGLIEDSB. NACHZAHLUNG,30.0,,,
2022-07-27,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Kasse,110.0,,,
2022-08-11,Angela Salazar,GB85UUCP34079703414892,Gutschrift,1. TFC Mitgliedsbeiträge für das Jahr 2022,40.0,,,
2022-08-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-08-23,Cheryl Bradley,GB69BQEI92694711801320,Gutschrift,Mitgliedsbeitrag Stibani 2022,60.0,,,
2022-08-26,Dana Nguyen,GB69SMUV68757738930555,Gutschrift,"Kristijan Mamic, Mitgliedsbeitrag 2022-2022",30.0,,,
2022-08-30,Laurie Wallace,GB46YEAB99251853671097,Gutschrift,Mitgliedsbeitrag,30.0,,,
2022-09-01,Jennifer Summers,GB48CLHI92635110873176,Gutschrift,"Jennifer Summers, Mitgliedsbeitrag 2020-2022",30.0,,,
2022-09-07,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Mitgliedsbeitrag Ahmed Omar,90.0,,,
2022-09-07,Stephanie Collins,GB32EUQU51240003485590,Lastschrift,"1022178742322 PP.5917.PP . RiproTec GmbH, Ihr Einkauf bei RiproTec GmbH",-181.55,,,
2022-09-12,Mr. Ryan Sanchez,GB65NWYP17386401400468,Gutschrift,Mitgliedsbeitrag Fördermitgliedschaft August bis Dezember,10.0,,,
2022-09-16,Autumn Robinson,GB57SWMO14543910144851,Gutschrift,Mitgliedsbeitraege Autumn Robinson 2021 2022,75.0,,,
2022-09-20,Walter Pratt,GB65JAYO52275868809189,Gutschrift,Walter Pratt Mitgliedsbeitrag 2020-2022 plus Spende,45.0,,,
2022-09-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-09-28,Theodore Mcgrath,GB64TDGD93442176104714,Gutschrift,Mitgliedsbeitrag TFC Frankfurt 2022 - Theodore Mcgrath,30.0,,,
2022-10-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-10-25,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Trikot mamic 1x,20.0,,,
2022-10-25,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Trikot Walter Pratt,20.0,,,
2022-10-25,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,"Trikots 1x schicke, 1x Martin z. 2x Schauzu",80.0,,,
2022-10-25,Faith Cabrera,GB60KKZL15900422945682,Gutschrift,Trikot,20.0,,,
2022-10-26,Laurie Wallace,GB46YEAB99251853671097,Gutschrift,Trikot Laurie Wallace,20.0,,,
2022-11-08,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Trikots schicke und Martin,40.0,,,
2022-11-14,Peter Montgomery,GB56KJOB63812066503008,Überweisung,Ruckuberweisung Uberzahlung Trikots fur Schicke und Martin Z.,-40.0,,,
2022-11-16,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Trikot Daniel Gleiß,20.0,,,
2022-11-16,Susan Wagner,GB39QSIK17446660223450,Gutschrift,Trikot,20.0,,,
2022-11-16,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Trikots,140.0,,,
2022-11-16,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Kassenentnahme,100.0,,,
2022-11-18,Peter Mcdowell,GB59TUKU19426418306753,Überweisung,"Steuererklaerung 2021, Rechnungsnummer T-1/2022",-273.7,,,
2022-11-21,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Trikot Lauren Hayes,20.0,,,
2022-11-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-12-01,Charles Wolfe,GB06QHYF16448298381686,Überweisung,6TG18142S27591420 / Bestellung vom 24.10.2022 bei PokaleNRW,-26.15,,,
2022-12-05,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Tisch-Verkauf Ullrich P4P an Brian Hamilton,900.0,,,
2022-12-05,Jennifer Summers,GB48CLHI92635110873176,Gutschrift,Trikots,40.0,,,
2022-12-05,Kenneth Kent,GB12XYZI47592211669728,Überweisung,Rechnungsnummer: RE-2022-0272,-1494.64,,,
2022-12-06,Sean Green,GB14PPKZ51717604522961,Gutschrift,Trikot Forsbach,20.0,,,
2022-12-07,Melanie Johnson,GB12VJLU76377857074270,Gutschrift,"Mitgliedsbeitrag 22 Dezember Meister 5 x 7,50",37.5,,,
2022-12-08,Mr. Ryan Sanchez,GB65NWYP17386401400468,Gutschrift,Mitgliedsbeitrag für 2023 als aktives Mitglied.,90.0,,,
2022-12-12,Stephanie Sutton,GB44XWTU77658236940224,Gutschrift,"Stephanie Sutton, Trikot",20.0,,,
2022-12-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-01-02,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-01-02,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,Mitgliedsbeitrag 2023,30.0,,,
2023-01-03,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,"Susan Wagner, MB",60.0,,,
2023-01-10,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,Turniereinnahmen,94.0,,,
2023-01-14,Mr. Ryan Sanchez,GB65NWYP17386401400468,Überweisung,Fehlueberweisung vom 08.12.2022,-90.0,,,
2023-01-16,Jorge Sullivan,GB71AMCW12648629645137,Gutschrift,"Jorge Sullivan, Mitgliedsbeitrag",60.0,,,
2023-01-16,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Mitgliedsbeitraege Peter Montgomery 2023,90.0,,,
2023-01-16,Jorge Sullivan,GB33RWAO15084237594599,Gutschrift,Ergänzung zum Dauerauftrag. Ab 2024 90€,30.0,,,
2023-01-17,Cheryl Bradley,GB69BQEI92694711801320,Gutschrift,Mitgliedsbeitrag Cheryl Bradley,90.0,,,
2023-01-17,Sean Green,GB14PPKZ51717604522961,Gutschrift,Jahresbeitrag 2023 Sean Green,90.0,,,
2023-01-19,Lisa Johnston,GB21JDPX30428146546118,Gutschrift,"Lisa Johnston, MB 2023",90.0,,,
2023-01-19,Jacob Hooper,GB14TGAL76081160501904,Gutschrift,Mitgliedsbeitrag 2023,90.0,,,
2023-01-19,Charles Wolfe,GB06QHYF16448298381686,Überweisung,BB0186924P8 Rechnungsnummer 92393,-21.35,,,
2023-01-20,Lauren Hayes,GB63ULUQ06606573547121,Gutschrift,Beitrag Lauren Hayes,90.0,,,
2023-01-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-01-23,Alex Woodward,GB65UWJX32943167562566,Überweisung,Rechnungsnummer ID 120/2022,-140.0,,,
2023-01-23,Caleb Clark,GB93VNAP54151150552035,Überweisung,Rechnungsnummer 17-2022,-271.11,,,
2023-01-25,Taylor Johnson,GB30EOWE85232756676337,Gutschrift,Taylor Johnson,90.0,,,
2023-01-30,Laurie Wallace,GB46YEAB99251853671097,Gutschrift,Mitgliedsbeitrag 2023-Laurie Wallace,90.0,,,
2023-02-01,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-02-02,Melanie Johnson,GB12VJLU76377857074270,Gutschrift,Jahresbeitrag alle Meister,450.0,,,
2023-02-02,Stephanie Lawrence,GB79SJFM22358332456029,Lastschrift,304-0795277-8121917 AMZN Mktp DE 2982RKAAXQFF4WNM,-40.15,,,
2023-02-06,Brian Green,GB69GSWB60312502394918,Gutschrift,Brian Green Mitgliedsbeitrag 1. TFC Frankfurt,82.3,,,
2023-02-06,Brian Green,GB11YJYL67088697747354,Gutschrift,MoneyBeam,0.2,,,
2023-02-07,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,Kassenentnahme Trainingsgebühr,18.0,,,
2023-02-07,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,Kassenentnahme Spende,31.9,,,
2023-02-07,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,Kassenentnahme Turniereinnahmen,241.0,,,
2023-02-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-02-27,Matthew Bell,GB51BBBF50402163968373,Überweisung,Rechnungsnummer R666599,-37.35,,,
2023-02-28,Kenneth Kent,GB12XYZI47592211669728,Überweisung,Rechnungsnummer RE-2023-0028,-166.6,,,
2023-03-01,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-03-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-04-03,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-04-13,Jonathan Williams,GB49KTDT15587540803513,Gutschrift,BEITRAG TFC FFM APRIL-DEZEMBER,67.5,,,
2023-04-17,Dana Nguyen,GB69SMUV68757738930555,Gutschrift,"Kristijan Mamic, MB 2023",90.0,,,
2023-04-17,Laurie Wallace,GB46YEAB99251853671097,Gutschrift,Mitgliedsbeitrag 2023,90.0,,,
2023-04-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-04-24,Peter Montgomery,GB56KJOB63812066503008,Überweisung,Fremdauslage: Pohlmann Bon-Nr. 10216116,-23.1,,,
2023-04-25,Faith Cabrera,GB60KKZL15900422945682,Gutschrift,Mitgliedsbeitrag 1.TFC Frankfurt 2023,90.0,,,
2023-04-25,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,Kassenentnahme Turniereinnahmen,184.0,,,
2023-04-25,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,Kassenentnahme Spenden,34.1,,,
2023-04-26,Stephanie Lawrence,GB79SJFM22358332456029,Lastschrift,304-6972311-9520358 AMZN Mktp DE 26EAXR2LPBJWFNND,-24.4,,,
2023-04-26,William Gonzalez,GB75QLGG44486475304810,Lastschrift,303-5204050-5834765 Amazon.de 3ZOH7KJHII82MKR0,-9.49,,,
2023-05-02,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-05-02,Nicholas Massey,GB74OPXO06777111312637,Gutschrift,Kleinboehl Mitgliedsbeitrag,75.0,,,
2023-05-03,Caleb Clark,GB93VNAP54151150552035,Überweisung,Jahresbeitrag 2023 Rechnungsnummer 18-2023,-316.11,,,
2023-05-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-06-01,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-06-13,Susan Levy,GB21JDPX30428146546118,Gutschrift,Trikot Fabi Nr 2,20.0,,,
2023-06-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-07-03,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-07-10,Kenneth Kent,GB12XYZI47592211669728,Überweisung,"RE-2023-0225, FIN-3",-211.11,,,
2023-07-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-08-01,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-08-08,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Kassenentnahme 07. August 2023,200.0,,,
2023-08-08,Brian Green,GB69GSWB60312502394918,Gutschrift,Brian Green 1x Trikot,20.0,,,
2023-08-09,Nicholas Massey,GB74OPXO06777111312637,Gutschrift,Nicholas Massey 2 Trikots,40.0,,,
2023-08-21,Stephanie Sutton,GB44XWTU77658236940224,Gutschrift,"Stephanie Sutton, MB 2023",90.0,,,
2023-08-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-09-01,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-09-15,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,"Kassenentnahme 2023-09-11, FIN-4",150.0,,,
2023-09-21,Melanie Johnson,GB12VJLU76377857074270,Gutschrift,Trikots Meister,40.0,,,
2023-09-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-10-02,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-10-10,Caroline Chambers,GB27TCNR60237324556184,Gutschrift,Mitgliedsbeitrag 2023 anteilig 9 Monate,67.5,,,
2023-10-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-11-01,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-11-06,Amy Lowe,GB30TRZG47897844301912,Gutschrift,"Mitgliedsbeitrag TFC Frankfurt, Henning Weinert, 10/23 - 3/24",30.0,,,
2023-11-07,Amy Lowe,GB30TRZG47897844301912,Gutschrift,"Mitgliedsbeitrag TFC Frankfurt, Henning Weinert, 10/23 - 3/24",15.0,,,
2023-11-17,Amy Lowe,GB30TRZG47897844301912,Gutschrift,"Trikot TFC Frankfurt, Henning Weinert",20.0,,,
2023-11-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2023-12-01,Whitney Stark,GB05IDRT27626623758257,Gutschrift,nan,5.0,,,
2023-12-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
